method,Batch size,seed,Peak accuracy,Learning rate,Temperature,epoch,Accuracy during training
Baseline,2,42,0.6931,5E-05,5,5,"eval_accuracy': ‘0.639','eval_accuracy': ‘0.6679','eval_accuracy': ‘0.6931','eval_accuracy': ‘0.6895',0.6787"
Variant A,2,42,0.7184,5E-05,5,5,"eval_accuracy': ‘0.6426’, 'eval_accuracy': ‘0.6787','eval_accuracy': ‘0.7076','eval_accuracy': ‘0.7184',0.6931"
Variant B,2,42,0.7329,5E-05,5,5,"'eval_accuracy': ‘0.6029','eval_accuracy': ‘0.6823','eval_accuracy': ‘0.6968','eval_accuracy': '0.7329'0.7004"
Tri-LossKD,2,42,0.7004,5E-05,5,5,"'eval_accuracy': ‘0.6426','eval_accuracy': ‘0.6715','eval_accuracy': ‘0.6715','eval_accuracy': ‘0.7004',.6643"
Baseline,4,42,0.6968,5E-05,5,5,"eval_accuracy': ‘0.5812','eval_accuracy': ‘0.6318','eval_accuracy': ‘0.6534','eval_accuracy': ‘0.6859',0.6968"
Variant A,4,42,0.6931,5E-05,5,5,"eval_accuracy': ‘0.6209','eval_accuracy': ‘0.6173','eval_accuracy': ‘0.6173','eval_accuracy': '0.6931'0.6859"
Variant B,4,42,0.6823,5E-05,5,5,"'eval_accuracy': ‘0.5921','eval_accuracy': ‘0.6643','eval_accuracy': ‘0.6823','eval_accuracy': ‘0.6354',0.6498"
Tri-LossKD,4,42,0.7076,5E-05,5,5,"'eval_accuracy': '0.5921','eval_accuracy': ‘0.6318','eval_accuracy': ‘0.6498','eval_accuracy': ‘0.7076,0.7076"
Baseline,8,42,0.704,5E-05,5,5,"eval_accuracy': ‘0.5921','eval_accuracy': ‘0.6282','eval_accuracy': ‘0.6787','eval_accuracy': ‘0.6895',0.704"
Variant A,8,42,0.6931,5E-05,5,5,"eval_accuracy': ‘0.6101','eval_accuracy': ‘0.657','eval_accuracy': ‘0.6931','eval_accuracy': ‘0.6498',0.6751"
Variant B,8,42,0.6931,5E-05,5,5,"'eval_accuracy': '0.5921', 'eval_accuracy': ‘0.6029','eval_accuracy': ‘0.6823','eval_accuracy': ‘0.6859',0.6931"
Tri-LossKD,8,42,0.7076,5E-05,5,5,"'eval_accuracy': '0.5921','eval_accuracy': ‘0.6462','eval_accuracy': ‘0.7004','eval_accuracy': ‘0.7076',0.7076"
Baseline,2,11,0.657,5E-05,5,5,"eval_accuracy': ‘0.6354','eval_accuracy': ‘0.6245','eval_accuracy': ‘0.657',eval_accuracy': ‘0.6462',0.6462"
Variant A,2,11,0.6462,5E-05,5,5,"eval_accuracy': ‘0.6245,'eval_accuracy': ‘0.6209','eval_accuracy': ‘0.639','eval_accuracy': '0.6462'0.639"
